,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Banyo Sayısı,Banyo Metrekare,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,WC Sayısı,WC Metrekare,Fiyat Durumu,Ada,Parsel,Price,Location,link,Yapı Durumu,Yapı Tipi,Eşya Durumu,Takas,Görüntülü Gezilebilir mi?,Salon Metrekare
189,17105518,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,0 (Yeni),2.Kat,3,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,,21.500TL, Beylikdüzü - Yakuplu Mahallesi,https://www.emlakjet.com//ilan/beylikduzu-yakupluda-21-80-m2-yeni-binada-sifir-kiralik-daire-17105518/,Sıfır,,Boş,Yok,,
190,17105515,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,130 m²,149 m²,4+1,5-10,6.Kat,15,Kombi Doğalgaz,Kiracı Oturuyor,,Kat Mülkiyeti,Evet,,2,,,,,,,,Genel Fiyat,,,70.000TL, Gaziosmanpaşa - Karayolları Mahallesi,https://www.emlakjet.com//ilan/avrupa-konutlari-tem-onu-acik-149m-kiralik-41-daire-17105515/,,,Boş,Yok,,
191,17105436,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,85 m²,94 m²,2+1,11-15,2.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,,1,,,,,,,,Genel Fiyat,,,20.000TL, Arnavutköy - Mehmet Akif Ersoy Mahallesi,https://www.emlakjet.com//ilan/arnavutkoy-tasoluk-toki-balkonlu-kombili-21-kiralik-17105436/,,,Boş,Yok,,
192,17105415,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,21 Ve Üzeri,1.Kat,2,Klimalı,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,12434,63,20.000TL, Kartal - Yakacık Çarşı Mahallesi,https://www.emlakjet.com//ilan/kiralik-21-esyali-daire-17105415/,,,,,,
193,17105360,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,155 m²,165 m²,3+1,21 Ve Üzeri,Bahçe Katı,2,Kombi Doğalgaz,Kiracı Oturuyor,,Kat Mülkiyeti,Evet,,2,,Var,,,,,,Genel Fiyat,297,52,65.000TL, Bakırköy - Şenlikköy Mahallesi,https://www.emlakjet.com//ilan/secret-house-dan-full-esyali-31-bahce-kati-17105360/,,,,,,
194,17105312,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,21 Ve Üzeri,5.Kat,5,Kombi Doğalgaz,Boş,100 TL,Müstakil Tapulu,Hayır,30000 TL,1,,Var,1,,,,,Birim Fiyat,1499,3,23.000TL, Fatih - Mevlanakapı Mahallesi,https://www.emlakjet.com//ilan/sahibinden-esyali-21-17105312/,İkinci El,Betonarme,Eşyalı,,Evet,
195,17105226,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,48 m²,55 m²,Stüdyo,5-10,14.Kat,15,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,,1,,,,,,,,Genel Fiyat,,,15.000TL, Esenyurt - Barbaros Hayrettin Paşa Mahallesi,https://www.emlakjet.com//ilan/siteici-metrobuse-10-dk-temiz-esyali-eksiksiz-10-kiralik-daire-17105226/,,,Eşyalı,Yok,,
196,17105180,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,100 m²,110 m²,3+1,21 Ve Üzeri,1.Kat,5,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,1,,,,,,,,Genel Fiyat,,,25.000TL, Fatih - Hırka,https://www.emlakjet.com//ilan/arslan-emlak-fevzi-pasa-cd-bir-arka-sokagi-31-17105180/,,,,,,
197,17105144,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,105 m²,115 m²,3+1,21 Ve Üzeri,1.Kat,5,Kombi Doğalgaz,Boş,,Hisseli Tapu,Hayır,,1,,,,,,,,Genel Fiyat,,,18.000TL, Esenler - Menderes Mahallesi,https://www.emlakjet.com//ilan/ergenler-emlaktan-esenler-menderesde-kiralik-31-daire-17105144/,,,Boş,Yok,,
198,17105143,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,90 m²,100 m²,1+1,21 Ve Üzeri,Düz Giriş (Zemin),1,Kombi Doğalgaz,Boş,,Hisseli Tapu,Hayır,,1,,,,,,,,Genel Fiyat,,,12.000TL, Esenler - Havaalanı Mahallesi,https://www.emlakjet.com//ilan/ergenler-emlaktan-atisalani-mah-11-kiralik-daire-17105143/,,,Boş,Yok,,
199,17105142,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,21 Ve Üzeri,Bahçe Katı,3,Kombi Doğalgaz,Boş,,Hisseli Tapu,Hayır,,1,,,,,,,,Genel Fiyat,,,11.250TL, Esenler - Oruçreis Mahallesi,https://www.emlakjet.com//ilan/ergenler-emlak-dan-orucreis-de-bekara-uygun-kiralik-daire-17105142/,,,Boş,Yok,,
200,17104886,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,100 TL,Tapu Kaydı Yok,Hayır,23000 TL,1,8 m²,Var,1,Kapalı Balkon,10 m²,2,5 m²,Birim Fiyat,63,213,23.000TL, Bahçelievler - Hürriyet Mahallesi,https://www.emlakjet.com//ilan/pakemlakdan-bekara-yabanciya-aileye-uygun-metrobusun-dibi-17104886/,İkinci El,Betonarme,Boş,Yok,Evet,34 m²
201,17104875,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,90 m²,95 m²,3+1,21 Ve Üzeri,Bahçe Katı,6,Kombi Doğalgaz,Boş,,Hisseli Tapu,Hayır,,1,,,,,,,,Genel Fiyat,1376,1,17.000TL, Bahçelievler - Siyavuşpaşa Mahallesi,https://www.emlakjet.com//ilan/bahcelievler-kiralik-31-95m2-kose-b-kati-daire-17104875/,,,,,,
202,17104859,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,16-20,Kot 1 (-1).Kat,5,Kombi Doğalgaz,Boş,,Kooperatiften Tapu,Hayır,12000 TL,1,,Var,,,,,,Genel Fiyat,,,12.000TL, Gaziosmanpaşa - Yeni Mahalle Mahallesi,https://www.emlakjet.com//ilan/toyap-tan-gaziosmanpasa-yenimahalle-de-21-100-m2-temiz-kiralik-bahce-kati-17104859/,,,,,,
203,17104721,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,85 m²,86 m²,2+1,16-20,1.Kat,5,Kombi Doğalgaz,Boş,250 TL,Kat İrtifakı,Hayır,20000 TL,1,,,,,,,,Genel Fiyat,null,21381,20.000TL, Bayrampaşa - Altıntepsi Mahallesi,https://www.emlakjet.com//ilan/es-emlaktan-altintepsi-gul-insaat-rezidans-yaninda-kiralik-daire-17104721/,,,,,,
204,17104636,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,120 m²,125 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,0 TL,Kooperatiften Tapu,Hayır,22000 TL,1,4 m²,Var,1,Açık Balkon,6 m²,2,6 m²,Genel Fiyat,,,22.000TL, Ümraniye - Armağanevler Mahallesi,https://www.emlakjet.com//ilan/umraniye-armaganevler-cakmak-alemdag-caddesi-uzerinde-cakmak-metro-karsisi-17104636/,İkinci El,Betonarme,Boş,Yok,Hayır,
205,17104547,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,75 m²,90 m²,2+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,15161,242,35.000TL, Maltepe - Küçükyalı Mahallesi,https://www.emlakjet.com//ilan/kucukyalida-e-5-ve-metroya-cok-yakin-full-esyali-75m-net-21-17104547/,,,Eşyalı,,,
206,17104541,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,55 m²,72 m²,1+1,0 (Yeni),2.Kat,8,Merkezi (Pay Ölçer),Boş,3720 TL,Kat Mülkiyeti,Hayır,100000 TL,1,,Var,1,,,1,,Genel Fiyat,2435,17,50.000TL, Ümraniye - Finanskent Mahallesi,https://www.emlakjet.com//ilan/sinpas-finans-sehir-esyali-11-balkonlu-kiralik-genis-daire-17104541/,Sıfır,Betonarme,Eşyalı,Yok,Evet,
207,17104314,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,65 m²,70 m²,2+1,4,4.Kat,6,Kombi Doğalgaz,Boş,120 TL,Kat Mülkiyeti,Hayır,15000 TL,1,,Yok,,,,1,,Genel Fiyat,1612,59,12.500TL, Esenyurt - Namık Kemal Mahallesi,https://www.emlakjet.com//ilan/kiralik-daire-17104314/,İkinci El,Betonarme,Boş,,,
208,17104252,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,39 m²,45 m²,1+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,20 TL,Kat Mülkiyeti,Hayır,15000 TL,1,4 m²,Var,1,Açık Balkon,1 m²,1,,Genel Fiyat,1366,5,25.000TL, Beyoğlu - Yenişehir Mahallesi,https://www.emlakjet.com//ilan/kurtulus-ta-11-45-m2-17104252/,,,Boş,,,
209,17104190,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,17000 TL,1,,,,,,,,Genel Fiyat,,,17.000TL, Esenler - Kazım Karabekir Mahallesi,https://www.emlakjet.com//ilan/avrupa-emlak-tan-esenler-kazim-karabekir-mah-90-m-21-3-kat-kombili-kiralik-daire-17104190/,,,,,,
210,17103877,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,80 m²,85 m²,1+1,16-20,Yüksek Giriş,2,Kombi Doğalgaz,Boş,,Yabancıdan,Hayır,,1,,Yok,,,,,,Genel Fiyat,,,12.000TL, Beylikdüzü - Kavaklı Mahallesi,https://www.emlakjet.com//ilan/kavakli-da-cok-genis-11-yuksek-giris-daire-17103877/,,,Boş,,,
211,17103695,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,100 m²,120 m²,2+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,,Hisseli Tapu,Hayır,,1,,,,,,,,Genel Fiyat,6985,34,25.000TL, Kağıthane - Merkez Mahallesi,https://www.emlakjet.com//ilan/kagithane-merkez-kiralik-21-esyali-daire-17103695/,,,,,,
212,17103568,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,200 m²,220 m²,3+1,21 Ve Üzeri,1.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,200000 TL,1,,Var,2,Açık Balkon,,1,,Genel Fiyat,508,11,140.000TL, Sarıyer - Tarabya Mahallesi,https://www.emlakjet.com//ilan/tarabya-da-manzarali-bahceli-31-kiralik-arakat-daire-17103568/,İkinci El,Betonarme,Boş,,,
213,17103538,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,45 m²,55 m²,1+1,5-10,4.Kat,6,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,20.000TL, Ataşehir - İnönü Mahallesi,https://www.emlakjet.com//ilan/kayisdagi-yeditepe-universitesine-yakin-kiralik-esyali-11-daire-17103538/,,,Eşyalı,Yok,,
214,17103355,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,16-20,Yüksek Giriş,5,Kombi Doğalgaz,Boş,0 TL,Kooperatiften Tapu,Hayır,15000 TL,1,,Var,,,,,,Genel Fiyat,,,15.000TL, Sultangazi - Cebeci Mahallesi,https://www.emlakjet.com//ilan/baykal-ins-cebeci-mah-21-85m-yuksek-giris-kiralik-17103355/,,,,,,
215,17103295,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,,Hisseli Tapu,Hayır,15000 TL,1,,,,,,,,Genel Fiyat,,6017,15.000TL, Bahçelievler - Soğanlı Mahallesi,https://www.emlakjet.com//ilan/ceylan-gayrimnkul-den-soganli-mah-ara-kat-80-m2-21-daire-17103295/,,,,,,
216,17103190,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,16-20,5.Kat,5,Kombi Doğalgaz,Kiracı Oturuyor,,Kat Mülkiyeti,Hayır,,2,,Var,,,,,,Genel Fiyat,,3905,40.000TL, Bahçelievler - Şirinevler Mahallesi,https://www.emlakjet.com//ilan/goldhouse-dan-sirinevler-de-kiralik-31-daire-17103190/,İkinci El,Betonarme,Boş,,,
217,17103024,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,70 m²,80 m²,1+1,5-10,5.Kat,18,Merkezi Doğalgaz,Boş,2500 TL,Kat Mülkiyeti,Evet,20000 TL,1,,Var,1,Açık Balkon,,1,,Birim Fiyat,322,8,20.000TL, Esenyurt - Piri Reis Mahallesi,https://www.emlakjet.com//ilan/11-kiralik-daire-17103024/,,,Eşyalı,,,
218,17102996,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,21 Ve Üzeri,1.Kat,7,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,9152,11,18.250TL, Şişli - Gülbahar Mahallesi,https://www.emlakjet.com//ilan/son-durak-arkasi-kiralik-21-daire-17102996/,,,,,,
219,17102955,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,110 m²,115 m²,3+1,5-10,Çatı Katı,4,Kombi Doğalgaz,Boş,10 TL,Kooperatiften Tapu,Hayır,20000 TL,1,,,,,,,,Genel Fiyat,,,20.000TL, Sultangazi - Cebeci Mahallesi,https://www.emlakjet.com//ilan/cebeci-mah-31-110m2-cati-kat-kira20-000-asansorlu-17102955/,,,,,,
220,17102820,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,21 Ve Üzeri,Kot 4 (-4).Kat,8,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,416,1,80.000TL, Şişli - Fulya Mahallesi,https://www.emlakjet.com//ilan/sisli-mecidiyekoy-meydanda-konuta-ofise-uygun-sifirlanmis-daire-17102820/,,,,,,
221,17102778,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,70 m²,85 m²,2+1,2,1.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,18000 TL,1,,Var,,,,2,,Genel Fiyat,null,22283,18.000TL, Arnavutköy - Anadolu Mahallesi,https://www.emlakjet.com//ilan/has-evim-yapidan-anadolu-mh-kiralik-merkeze-yakin-21-85-mt-metroya-yakin-kiralik-daire-17102778/,İkinci El,Betonarme,Boş,,,
222,17102713,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,11-15,Bahçe Katı,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,13000 TL,1,,,,,,,,Genel Fiyat,369,5,13.000TL, Bahçelievler - Zafer Mahallesi,https://www.emlakjet.com//ilan/tutar-dan-habesi-bilal-cami-yakini-21-amerikan-mutfak-kiralik-17102713/,,,,,,
223,17102605,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,21 Ve Üzeri,5.Kat,5,Kombi Doğalgaz,Boş,,Hisseli Tapu,Hayır,,1,,,,,,,,Genel Fiyat,,933,10.000TL, Bahçelievler - Yenibosna Merkez Mahallesi,https://www.emlakjet.com//ilan/yildiz-emlakdan-mevlana-cami-yakini-90m2-kiralik-teras-kat-17102605/,,,,,,
224,17102595,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,5-10,1.Kat,6,Merkezi Doğalgaz,Boş,50 TL,Yabancıdan,Hayır,15000 TL,1,,Var,,,,,,Genel Fiyat,,,15.000TL, Esenyurt - Talatpaşa Mahallesi,https://www.emlakjet.com//ilan/hastaneye-cook-yakinn-17102595/,,,,,,
225,17102552,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,68,54,20.400TL, Sancaktepe - Yenidoğan Mahallesi,https://www.emlakjet.com//ilan/sancaktepe-merkezi-konumda-ferah-21-memur-icin-kiralik-daire-17102552/,,,,,,
226,17102541,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,110 m²,115 m²,3+1,5-10,Çatı Katı,5,Kombi Doğalgaz,Boş,,Kooperatiften Tapu,Hayır,20000 TL,1,,Var,,,,,,Genel Fiyat,,,20.000TL, Sultangazi - Cebeci Mahallesi,https://www.emlakjet.com//ilan/cebeci-de-tranwayin-dibinde-31-asansorlu-yeni-binaada-17102541/,,,,,,
227,17102431,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,,25.000TL, Güngören - Haznedar Mahallesi,https://www.emlakjet.com//ilan/cesit-emlak-haznedar-kinali-cad-buyuk-park-yakini-31-kiralik-17102431/,,,Boş,Yok,,
228,17102424,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,5-10,Yüksek Giriş,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,13.000TL, Esenyurt - Pınar Mahallesi,https://www.emlakjet.com//ilan/demirol-dan-ahmet-arif-caddesine-yakin-kiralik-21-daire-17102424/,,,Boş,Yok,,
229,17102351,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,110 m²,128 m²,3+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,1555,33.000TL, Bahçelievler - Siyavuşpaşa Mahallesi,https://www.emlakjet.com//ilan/basokur-dan-siyavuspasa-camlik-caddesi-uzeri-asansorlu-31-daire-17102351/,,,,,,
230,17102189,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,,Hisseli Tapu,Hayır,,1,,Var,1,,,1,,Genel Fiyat,9545,18,23.000TL, Kağıthane - Çeliktepe Mahallesi,https://www.emlakjet.com//ilan/4-levent-metroya-8-dk-21-kiralik-daire-artum-dan-17102189/,İkinci El,Betonarme,Boş,Yok,Hayır,
231,17101509,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,52 m²,70 m²,1+1,4,3.Kat,11,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,42.000TL, Kağıthane - Merkez Mahallesi,https://www.emlakjet.com//ilan/seba-suites-vadi-metro-17101509/,,,Eşyalı,Yok,,
232,17101484,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,0 (Yeni),8.Kat,10,Merkezi Doğalgaz,Boş,,Kat İrtifakı,Evet,,1,,,,,,,,Genel Fiyat,,,37.500TL, Sancaktepe - Veysel Karani Mahallesi,https://www.emlakjet.com//ilan/heradan-siltas-comfortta-21-sifir-kiralik-daire-17101484/,,,Boş,Yok,,
233,17101432,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,78 m²,90 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,250 TL,Bilinmiyor,Hayır,,1,,,,,,,,Genel Fiyat,,,30.000TL, Şişli - Ergenekon Mahallesi,https://www.emlakjet.com//ilan/sisli-harbiyede-tabela-degeri-yuksek-home-ofise-uygun-21-ara-kat-17101432/,İkinci El,Yığma,,Yok,,
234,17101310,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,78 m²,90 m²,2+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,0 TL,Kat Mülkiyeti,Hayır,19500 TL,1,,Var,1,Açık Balkon,,,,Genel Fiyat,2390,27,19.500TL, Fatih - Aksaray Mahallesi,https://www.emlakjet.com//ilan/21-deniz-manzarali-daire-17101310/,İkinci El,Kagir,Boş,Yok,Hayır,
235,17101246,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,5-10,Yüksek Giriş,10,Kombi Doğalgaz,Kiracı Oturuyor,,Kat İrtifakı,Evet,,1,,,,,,,,Genel Fiyat,,,30.000TL, Ataşehir - Esatpaşa Mahallesi,https://www.emlakjet.com//ilan/atasehir-esatpasa-mahallesinde-11-esyali-daire-17101246/,,,Eşyalı,Yok,,
236,17101208,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,65 m²,75 m²,1+1,21 Ve Üzeri,Düz Giriş (Zemin),5,Isıtma Yok,Kiracı Oturuyor,,Tapu Kaydı Yok,Hayır,10000 TL,1,,,,,,,,Genel Fiyat,,,10.000TL, Bahçelievler - Hürriyet Mahallesi,https://www.emlakjet.com//ilan/hurriyet-mah-11-mustakilgieisli-kiralik-daire-17101208/,,,,,,
237,17101193,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,125 m²,135 m²,3+1,11-15,Bahçe Katı,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,20.000TL, Beylikdüzü - Yakuplu Mahallesi,https://www.emlakjet.com//ilan/garipogullarin-dan-31-kiralik-daire-yakupluda-17101193/,,,Boş,Yok,,
238,17101154,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,85 m²,105 m²,2+1,11-15,8.Kat,14,Merkezi (Pay Ölçer),Boş,,Kat Mülkiyeti,Evet,,1,,,,,,,,Genel Fiyat,,,32.000TL, Başakşehir - Bahçeşehir 1. Kısım Mahallesi,https://www.emlakjet.com//ilan/bahcesehir-uphill-court-sitesi-tadilatli-21-kiralik-daire-17101154/,,,Boş,Yok,,
239,17101114,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,,16.000TL, Avcılar - Denizköşkler Mahallesi,https://www.emlakjet.com//ilan/sukrubey-metrobuse-2dk-mesafede-21-yeni-boyali-17101114/,,,Boş,Yok,,
240,17101113,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,90 m²,110 m²,3+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,15.000TL, Avcılar - Denizköşkler Mahallesi,https://www.emlakjet.com//ilan/kiralik-31-daire-17101113/,,,Boş,Yok,,
241,17101110,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,100 m²,130 m²,2+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,,,,,,,,Genel Fiyat,,,18.000TL, Sancaktepe - Fatih Mahallesi,https://www.emlakjet.com//ilan/kacmazdan-yuksek-girisli-tertemiz-aydinlik-21-kiralik-dairemiz-17101110/,,,Boş,Yok,,
242,17101085,02 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,115 m²,120 m²,2+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,45000 TL,1,,,,,,,,Genel Fiyat,,,28.000TL, Bahçelievler - Şirinevler Mahallesi,https://www.emlakjet.com//ilan/sirinevler-mah-21-full-esyali-3-kat-kiralik-daire-asansor-vardir-17101085/,,,,,,
243,17101017,02 Nisan 2025,02 Nisan 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,2.Kat,6,Kombi Doğalgaz,Boş,200 TL,Kat Mülkiyeti,Hayır,25000 TL,1,,Var,1,Kapalı Balkon,,,,Genel Fiyat,808,556,25.000TL, Güngören - Abdurrahman Nafiz Gürman Mahallesi,https://www.emlakjet.com//ilan/sahibinden-merterdekombiliboyali-kiralik-daire-17101017/,,,Boş,,,
244,17101011,02 Nisan 2025,02 Nisan 2025,Konut,Kiralık,Daire,105 m²,120 m²,3+1,3,4.Kat,7,Kombi Doğalgaz,Boş,2500 TL,Kat Mülkiyeti,Evet,50000 TL,2,4 m²,Var,2,Açık Balkon,4 m²,1,,Genel Fiyat,,24334,50.000TL, Bayrampaşa - İsmet Paşa Mahallesi,https://www.emlakjet.com//ilan/kiptas-konutlari-31-kapali-mutfak-105m2-daire-17101011/,,,Boş,Yok,,
245,17100948,02 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,60 m²,70 m²,2+1,16-20,Bahçe Katı,4,Kombi Doğalgaz,Kiracı Oturuyor,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,,18.500TL, Ataşehir - Kayışdağı Mahallesi,https://www.emlakjet.com//ilan/onem-gayrimenkul-den-21-temiz-bahce-kati-daire-17100948/,,,Boş,Yok,,
246,17100943,02 Nisan 2025,02 Nisan 2025,Konut,Kiralık,Daire,130 m²,145 m²,3+1,21 Ve Üzeri,7.Kat,10,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,,36.000TL, Kadıköy - Dumlupınar Mahallesi,https://www.emlakjet.com//ilan/onemden-ssk-yani-31-ara-kat-genis-daire-17100943/,,,Boş,Yok,,
247,17100843,02 Nisan 2025,02 Nisan 2025,Konut,Kiralık,Daire,250 m²,300 m²,3+1,5-10,Çatı Katı,2,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,3,,,,,,,,Genel Fiyat,,,95.000TL, Sarıyer - Zekeriyaköy Mahallesi,https://www.emlakjet.com//ilan/zekeriyakoy-de-kiralik-cati-dublex-17100843/,,,Boş,Yok,,
248,17100604,02 Nisan 2025,02 Nisan 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,21 Ve Üzeri,Çatı Katı,5,Kombi Doğalgaz,Boş,150 TL,Bilinmiyor,Hayır,,1,,,,,,,,Genel Fiyat,,,50.000TL, Beyoğlu - Ömer Avni Mahallesi,https://www.emlakjet.com//ilan/taksimde-bogaz-manzarali-esyali-taksim-sea-view-furnished-apart-17100604/,İkinci El,Betonarme,Eşyalı,Yok,,
249,17100603,02 Nisan 2025,02 Nisan 2025,Konut,Kiralık,Daire,80 m²,108 m²,3+1,21 Ve Üzeri,3.Kat,3,Merkezi Doğalgaz,Boş,700 TL,Bilinmiyor,Hayır,,1,,,,,,,,Genel Fiyat,,,52.000TL, Beşiktaş - Nisbetiye Mahallesi,https://www.emlakjet.com//ilan/levent-nispetiye-mahallesi-temiz-kismi-bogaz-manzarali-31-daire-17100603/,İkinci El,Betonarme,,Yok,,
