,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,Price,Location,link,Aidat,Depozito,Balkon Durumu,Balkon Sayısı,Görüntülü Gezilebilir mi?,Ada,Parsel,Balkon Tipi,Yapı Durumu,Yapı Tipi,WC Sayısı,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
266,16955974,06 Mart 2025,06 Mart 2025,Konut,Kiralık,Daire,110 m²,125 m²,2+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.000TL, Merkezefendi - Değirmenönü Mahallesi,https://www.emlakjet.com//ilan/degirmenonu-nde-lise-caddesi-yakini-21-ici-yenilenmis-daire-16955974/,,,,,,,,,,,,,,,
267,16953590,06 Mart 2025,06 Mart 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,21 Ve Üzeri,2.Kat,2,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,10.000TL, Merkezefendi - Değirmenönü Mahallesi,https://www.emlakjet.com//ilan/ata-yapi-dan-degirmenonu-mahallesinde-21-kiralik-daire-16953590/,,,,,,,,,,,,,,,
268,16953499,06 Mart 2025,02 Nisan 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,4,3.Kat,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,11.000TL, Pamukkale - Hacıkaplanlar Mahallesi,https://www.emlakjet.com//ilan/cinarda-aile-apartinda-50m-11-full-esyali-kiralik-apart-daire-16953499/,200 TL,11000 TL,Yok,,,5745,4,,İkinci El,Betonarme,1,,,,
269,16952087,06 Mart 2025,06 Mart 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,5-10,1.Kat,4,Merkezi (Pay Ölçer),Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL, Pamukkale - İncilipınar Mahallesi,https://www.emlakjet.com//ilan/forum-camliga-yakin-kiralik-11-apart-16952087/,,,,,,,,,,,,,,,
270,16948972,06 Mart 2025,06 Mart 2025,Konut,Kiralık,Daire,130 m²,145 m²,3+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL, Merkezefendi - Sırakapılar Mahallesi,https://www.emlakjet.com//ilan/devlet-hast-yakini-31-arakat-cift-balkonlu-kiralik-daire-16948972/,,,,,,,,,,,,,,,
271,16948971,06 Mart 2025,06 Mart 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,0 (Yeni),Yüksek Giriş,2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL, Merkezefendi - Değirmenönü Mahallesi,https://www.emlakjet.com//ilan/degirmenonu-mh-de-ultra-lux-sifir-kiralik-11-apart-16948971/,,,,,,,,,,,,,,,
272,16948675,06 Mart 2025,06 Mart 2025,Konut,Kiralık,Daire,45 m²,55 m²,1+1,4,2.Kat,5,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,11.000TL, Pamukkale - Pelitlibağ Mahallesi,https://www.emlakjet.com//ilan/mg-premium-dan-ana-cadde-uzeri-esyali-ara-kat-lux-11-apart-16948675/,,,,,,,,,,,,,,,
273,16947993,05 Mart 2025,06 Mart 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,5-10,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,12.000TL, Pamukkale - Pelitlibağ Mahallesi,https://www.emlakjet.com//ilan/max-real-den-pelitlibag-da-sifir-esyali-genis-11-apart-16947993/,,,,,,,,,,,,,,,
274,16946473,05 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,18.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/kz-grup-tan-kinikli-da-arakat-21-80m2-lux-esyali-kiralik-apart-16946473/,,,,,,1779,22,,,,,,,,
275,16946313,05 Mart 2025,07 Mart 2025,Konut,Kiralık,Daire,65 m²,75 m²,2+1,4,2.Kat,3,Merkezi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,1,Genel Fiyat,13.000TL, Pamukkale - 15 Mayıs Mahallesi,https://www.emlakjet.com//ilan/15-mayis-mah-21-kiralik-apart-16946313/,,,,,,,,,,,,,,,
276,16942773,05 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,0 (Yeni),2.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,17.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/kz-gayrimenkulden-kinikli-kafelerde-11-65m2-sifir-esyali-kiralik-apart-16942773/,,,,,,5246,2,,,,,,,,
277,16941791,05 Mart 2025,05 Mart 2025,Konut,Kiralık,Daire,162 m²,170 m²,3+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,24.000TL, Pamukkale - Mehmetçik Mahallesi,https://www.emlakjet.com//ilan/ucgul-gayrimenkulden-mehmetcik-de-170-m2-31-kiralik-daire-16941791/,,,,,,,,,,,,,,,
278,16940324,04 Mart 2025,06 Mart 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,5-10,2.Kat,4,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.500TL, Pamukkale - Mehmetçik Mahallesi,https://www.emlakjet.com//ilan/mehmetcik-mahallesinde-forumcamlik-yakini-kiralik-apart-16940324/,,,,,,,,,,,,,,,
279,16938920,04 Mart 2025,04 Mart 2025,Konut,Kiralık,Daire,55 m²,60 m²,2+1,5-10,3.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Var,1,Genel Fiyat,15.000TL, Merkezefendi - Değirmenönü Mahallesi,https://www.emlakjet.com//ilan/degirmenonu-mh-de-21-arakat-klimali-asansorlu-kiralik-aile-aparti-16938920/,300 TL,15000 TL,Var,1,Hayır,99,213,Açık Balkon,,Betonarme,1,7 m²,8 m²,,3 m²
280,16935949,04 Mart 2025,27 Mart 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,3,4.Kat,4,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,15.000TL, Merkezefendi - Muratdede Mahallesi,https://www.emlakjet.com//ilan/devlet-hast-yakin-anayolda-asansorlu-balkonlu-21-luks-daire-16935949/,,,Var,1,Evet,6356,6,Açık Balkon,Sıfır,Betonarme,1,,,,
281,16935460,04 Mart 2025,02 Nisan 2025,Konut,Kiralık,Daire,105 m²,110 m²,2+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,11.000TL, Pamukkale - Topraklık Mahallesi,https://www.emlakjet.com//ilan/topraklik-ta-garaja-yakin-21-110m2-kiralik-daire-arakat-16935460/,,,Var,1,,5268,2,Açık Balkon,,,2,,,,
282,16935454,04 Mart 2025,04 Mart 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,5-10,2.Kat,3,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,15.000TL, Pamukkale - Zeytinköy Mahallesi,https://www.emlakjet.com//ilan/zeytinkoy-mh-kiralik-11-apart-50-m2-16935454/,,15000 TL,Yok,,,2799,10,,İkinci El,,,,,,
283,16934080,03 Mart 2025,03 Mart 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,0 (Yeni),1.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,19.000TL, Merkezefendi - Şemikler Mahallesi,https://www.emlakjet.com//ilan/semikler-de-erbakir-fen-lisesi-yakini-kiralik-21-lux-daire-16934080/,,,,,,,,,,,,,,,
284,16933853,03 Mart 2025,17 Mart 2025,Konut,Kiralık,Daire,170 m²,175 m²,3+1,5-10,3.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL, Merkezefendi - Yenişafak Mahallesi,https://www.emlakjet.com//ilan/saygin-dan-yenisafak-mah-170-m2-31-onu-acik-3-kat-daire-16933853/,,,,,,300,1,,,,,,,,
285,16933680,03 Mart 2025,02 Nisan 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,5-10,1.Kat,2,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,13.000TL, Pamukkale - Bağbaşı Mahallesi,https://www.emlakjet.com//ilan/bagbasinda-2-yol-arasinda-esyali-21-ters-dublex-balkonlu-daire-16933680/,,,Var,1,,287,2,,,,,,,,
286,16933368,03 Mart 2025,17 Mart 2025,Konut,Kiralık,Daire,50 m²,60 m²,1 Oda,0 (Yeni),1.Kat,3,Yerden Isıtma,Boş,,Kat İrtifakı,Evet,,1,Genel Fiyat,15.000TL, Pamukkale - Zeytinköy Mahallesi,https://www.emlakjet.com//ilan/pau-yakini-sifir-apart-16933368/,,,Var,1,,3702,10,,,,,,,,
287,16932350,03 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,1,3.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,18.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-yunusemre-mahallesinde-21-lux-esyali-apart-16932350/,,,,,,2880,17,,,,,,,,
288,16932253,03 Mart 2025,03 Mart 2025,Konut,Kiralık,Daire,35 m²,45 m²,1+1,5-10,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,10.000TL, Pamukkale - İncilipınar Mahallesi,https://www.emlakjet.com//ilan/foruma-cok-yakin-arakat-abonelikler-acik-esyali-apart-16932253/,,,,,,,,,,,,,,,
289,16932238,03 Mart 2025,03 Mart 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,11-15,1.Kat,2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,8.000TL, Pamukkale - İncilipınar Mahallesi,https://www.emlakjet.com//ilan/forum-camliga-yakin-kiralik-firsat-apart-abonelikler-acik-16932238/,,,,,,,,,,,,,,,
290,16932237,03 Mart 2025,03 Mart 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,16-20,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL, Pamukkale - Atalar Mahallesi,https://www.emlakjet.com//ilan/uygun-fiyata-arakat-kiralik-daireler-16932237/,,,,,,,,,,,,,,,
291,16931403,03 Mart 2025,03 Mart 2025,Konut,Kiralık,Daire,144 m²,150 m²,3+1,5-10,1.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,26.000TL, Pamukkale - Mehmetçik Mahallesi,https://www.emlakjet.com//ilan/mehmetcik-de-150m-31-kosebasi-oyas-foruma-5dak-mesafede-araka-16931403/,,,,,,,,,,,,,,,
292,16930181,03 Mart 2025,03 Mart 2025,Konut,Kiralık,Daire,130 m²,145 m²,3+1,0 (Yeni),2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,23.000TL, Merkezefendi - Değirmenönü Mahallesi,https://www.emlakjet.com//ilan/degirmenonu-mahallesi-nde-kiralik-arakat-daire-16930181/,,,Var,2,Hayır,393,3,Açık Balkon,Sıfır,Betonarme,2,,,,
293,16929923,03 Mart 2025,03 Mart 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,1.Kat,8,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,8.000TL, Pamukkale - Zeytinköy Mahallesi,https://www.emlakjet.com//ilan/bagbasi-city-ligts-havuzlu-guvenlikli-sitede-kiralik-11-apart-16929923/,,,,,,160,2,,,,,,,,
294,16929895,03 Mart 2025,15 Mart 2025,Konut,Kiralık,Daire,120 m²,150 m²,3+1,16-20,Kot 2 (-2).Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Birim Fiyat,15.000TL, Kale - Cevherpaşa Mahallesi,https://www.emlakjet.com//ilan/kiralik-daire-16929895/,,14000 TL,Var,2,,356,10,Açık Balkon,,,,,,,
295,16924304,01 Mart 2025,20 Mart 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,11-15,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL, Pamukkale - Yunusemre Mahallesi,https://www.emlakjet.com//ilan/erkus-gyodan-kiralik-genis-balkonlu-esyali-apart-16924304/,,,Var,,Evet,2222,4,,İkinci El,Betonarme,1,,,,
296,16922353,01 Mart 2025,01 Mart 2025,Konut,Kiralık,Daire,69 m²,70 m²,1+1,4,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,11.500TL, Pamukkale - Bağbaşı Mahallesi,https://www.emlakjet.com//ilan/bagbasi-yeni-yol-migros-yakini-11-70m2-balkonlu-esyali-studyo-16922353/,,,,,,,,,,,,,,,
297,16921674,01 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,73 m²,75 m²,2+1,5-10,4.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,16.000TL, Pamukkale - Zeytinköy Mahallesi,https://www.emlakjet.com//ilan/ender-uysaldan-gayrimenkulden-zeytinkoy-de-21-balkonlu-kiralik-lux-esyali-apart-16921674/,,,,,,130,7,,,,,,,,
298,16920098,28 Şubat 2025,01 Mart 2025,Konut,Kiralık,Daire,135 m²,150 m²,2.5+1,5-10,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,25.000TL, Merkezefendi - Gültepe Mahallesi,https://www.emlakjet.com//ilan/office-peradan-gultepe-site-ici-lux-esyali-kiralik-daire-16920098/,,,,,,,,,,,,,,,
299,16919685,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,155 m²,175 m²,3+1,5-10,1.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,27.500TL, Merkezefendi - Yenişafak Mahallesi,https://www.emlakjet.com//ilan/ferhatlar-koleji-yakini-site-icerisinde-ici-yenilenmis-31-175m2-16919685/,,,,,,,,,,,,,,,
300,16919452,28 Şubat 2025,19 Mart 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,3,4.Kat,4,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL, Merkezefendi - Çakmak Mahallesi,https://www.emlakjet.com//ilan/cakmak-ta-on-cephe-21-kiralik-daire-16919452/,,,,,,,,,,,,,,,
301,16919262,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,5-10,1.Kat,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/mg-premium-dan-kampus-mevkinde-11-genis-ultra-lux-apart-16919262/,,,,,,,,,,,,,,,
302,16919222,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,1,1.Kat,2,Yerden Isıtma,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,16.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/camlik-ta-sifir-binada-kiralik-11-luks-konsept-esyali-daire-16919222/,,,,,,,,,,,,,,,
303,16919203,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,4,1.Kat,4,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,16.000TL, Pamukkale - Asmalıevler Mahallesi,https://www.emlakjet.com//ilan/mg-premium-dan-guvenlikli-site-icinde-11-ultra-lux-residance-16919203/,,,,,,,,,,,,,,,
304,16919200,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,5-10,2.Kat,6,Merkezi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL, Pamukkale - Fatih Mahallesi,https://www.emlakjet.com//ilan/mg-premium-dan-genis-balkonlu-11-75-m2-ultra-lux-rezidans-16919200/,,,,,,,,,,,,,,,
305,16918887,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,5-10,2.Kat,2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.000TL, Merkezefendi - Bereketler Mahallesi,https://www.emlakjet.com//ilan/sehzade-gayrimenkul-den-bereketler-mah-kiralik-apart-16918887/,,,,,,,,,,,,,,,
306,16918884,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,55 m²,65 m²,2+1,5-10,1.Kat,4,Yerden Isıtma,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,14.500TL, Pamukkale - Zeytinköy Mahallesi,https://www.emlakjet.com//ilan/sehzade-den-zeytinkoyde-kiralik-21-apartlar-16918884/,,,,,,,,,,,,,,,
307,16918876,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,55 m²,65 m²,2+1,5-10,1.Kat,4,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.500TL, Pamukkale - Zeytinköy Mahallesi,https://www.emlakjet.com//ilan/sehzade-den-zeytinkoyde-kiralik-21-apartlar-16918876/,,,,,,,,,,,,,,,
308,16918861,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,5-10,Bahçe Katı,2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,21.000TL, Merkezefendi - Bahçelievler Mahallesi,https://www.emlakjet.com//ilan/sehzade-gayrimenkul-den-bahcelievler-mah-kiralik-apart-16918861/,,,,,,,,,,,,,,,
309,16918830,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,120 m²,135 m²,2+1,0 (Yeni),3.Kat,3,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,16.000TL, Merkezefendi - Hacıeyüplü Mahallesi,https://www.emlakjet.com//ilan/sehzade-den-hacieyuplu-de-kiralik-21-sifir-daire-16918830/,,,,,,,,,,,,,,,
310,16918826,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,150 m²,170 m²,3+1,11-15,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,14.000TL, Merkezefendi - Şemikler Mahallesi,https://www.emlakjet.com//ilan/sehzade-den-semiklerde-genis-kiralik-31-daire-16918826/,,,,,,,,,,,,,,,
311,16918821,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,55 m²,65 m²,1.5+1,5-10,2.Kat,5,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,18.000TL, Pamukkale - Asmalıevler Mahallesi,https://www.emlakjet.com//ilan/sehzade-den-asmalievlerde-site-ici-kiralik-apart-16918821/,,,,,,,,,,,,,,,
312,16918818,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,0 (Yeni),4.Kat,4,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,26.000TL, Merkezefendi - Yenişafak Mahallesi,https://www.emlakjet.com//ilan/sehzade-den-yenisafak-31-evebeyn-bany-kiralik-daire-16918818/,,,,,,,,,,,,,,,
313,16918806,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,0 (Yeni),3.Kat,4,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,29.000TL, Merkezefendi - Yenişafak Mahallesi,https://www.emlakjet.com//ilan/sehzade-den-yenisafak-31-evebeyn-bany-kiralik-daire-16918806/,,,,,,,,,,,,,,,
314,16918790,28 Şubat 2025,03 Mart 2025,Konut,Kiralık,Daire,210 m²,220 m²,3+1,11-15,5.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,26.000TL, Merkezefendi - Çakmak Mahallesi,https://www.emlakjet.com//ilan/sehzade-den-goveclikten-31-genis-daire-harika-manzara-16918790/,,,,,,,,,,,,,,,
315,16918365,28 Şubat 2025,28 Mart 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,5-10,4.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,8.500TL, Pamukkale - Yunusemre Mahallesi,https://www.emlakjet.com//ilan/kz-grup-tan-yunusemre-de-11-55m2-full-esyali-kiralik-apart-16918365/,,,,,,2260,3,,,,,,,,
316,16918217,28 Şubat 2025,17 Mart 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,5-10,1.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,11.000TL, Pamukkale - Atalar Mahallesi,https://www.emlakjet.com//ilan/kz-grup-tan-atalar-da-kiralik-11-arakat-55m2-full-esyali-kiralik-apart-16918217/,,,,,,2349,26,,,,,,,,
317,16917958,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,4,3.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,10.000TL, Pamukkale - Atalar Mahallesi,https://www.emlakjet.com//ilan/atalar-cinar-ve-horoza-yakin-arakat-esyali-genis-apart-16917958/,,,,,,,,,,,,,,,
318,16917950,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,60 m²,80 m²,2+1,4,2.Kat,2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,10.000TL, Pamukkale - Asmalıevler Mahallesi,https://www.emlakjet.com//ilan/universite-nin-karsisinda-esyali-kiralik-21-apart-16917950/,,,,,,,,,,,,,,,
319,16917709,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,50 m²,60 m²,1.5+1,4,2.Kat,6,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL, Pamukkale - Asmalıevler Mahallesi,https://www.emlakjet.com//ilan/asmalievler-mah-ultra-lux-guvenlikli-site-icerisin-kiralik-daire-16917709/,,,,,,,,,,,,,,,
320,16917684,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,4,1.Kat,5,Yerden Isıtma,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,17.000TL, Pamukkale - Asmalıevler Mahallesi,https://www.emlakjet.com//ilan/desen-kristalin-arkasinda-21-kiralik-apart-16917684/,,,,,,,,,,,,,,,
321,16917605,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,45 m²,55 m²,1+1,5-10,1.Kat,2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,11.500TL, Merkezefendi - Merkez Efendi Mahallesi,https://www.emlakjet.com//ilan/max-real-den-denipol-hastanesi-bolgesinde-11-kiralik-apart-16917605/,,,,,,,,,,,,,,,
322,16917599,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,5-10,2.Kat,2,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL, Merkezefendi - Mehmet Akif Ersoy Mahallesi,https://www.emlakjet.com//ilan/max-real-den-21-hudai-oral-caddesi-kiralik-daire-16917599/,,,,,,,,,,,,,,,
323,16917551,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,4,1.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL, Pamukkale - Asmalıevler Mahallesi,https://www.emlakjet.com//ilan/max-real-den-asmalievlerde-kiralik-11-suit-daire-16917551/,,,,,,,,,,,,,,,
324,16917411,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,65 m²,70 m²,2+1,21 Ve Üzeri,1.Kat,4,Kombi Doğalgaz,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,12.000TL, Merkezefendi - Muratdede Mahallesi,https://www.emlakjet.com//ilan/devlet-hastanesi-mevkii-21-esyasiz-kiralik-apart-16917411/,,,,,,,,,,,,,,,
325,16917391,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,55 m²,70 m²,2+1,5-10,3.Kat,7,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,13.000TL, Pamukkale - Fesleğen Mahallesi,https://www.emlakjet.com//ilan/istiklal-caddesi-uzeri-21-70-m-asansorlu-3-arakat-apart-16917391/,,,,,,,,,,,,,,,
326,16916317,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,145 m²,155 m²,3+1,11-15,Bahçe Katı,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,10.500TL, Merkezefendi - Gültepe Mahallesi,https://www.emlakjet.com//ilan/dota-dan-albayrak-meydanin-da-kiralik-31-bahce-kati-daire-16916317/,,,,,,,,,,,,,,,
327,16915942,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Daire,65 m²,70 m²,2+1,5-10,3.Kat,4,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.500TL, Merkezefendi - Sırakapılar Mahallesi,https://www.emlakjet.com//ilan/sirakapilar-mah-full-sifir-esyali-kiralik-11-ve-21-daireler-16915942/,,,,,,,,,,,,,,,
328,16913898,28 Şubat 2025,28 Şubat 2025,Konut,Kiralık,Villa,293 m²,330 m²,3+2,21 Ve Üzeri,,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,Yok,3,Genel Fiyat,55.000TL, Pamukkale - Zümrüt Mahallesi,https://www.emlakjet.com//ilan/bagbasi-zumrut-mah-yesil-zumrut-sitesi-nde-kiralik-villa-16913898/,,,,,,,,,,,,,,,
